,assetIssued,paymentDate,rate,relatedTo,approvedOn,isinCode,label,lastDatePrior,remarks,symbol
0,BRFZDACTF008,2023-05-08T00:00:00.000Z,2.257302915,04/2023/2023,2023-04-28T00:00:00.000Z,BRFZDACTF008,RENDIMENTO,2023-04-28T00:00:00.000Z,,FZDA11
0,BRAAZQCTF001,2023-07-14T00:00:00.000Z,0.1,06/2023/2023,2023-06-30T00:00:00.000Z,BRAAZQCTF001,RENDIMENTO,2023-06-30T00:00:00.000Z,,AAZQ11
1,BRAAZQCTF001,2023-06-15T00:00:00.000Z,0.13,05/2023/2023,2023-05-31T00:00:00.000Z,BRAAZQCTF001,RENDIMENTO,2023-05-31T00:00:00.000Z,,AAZQ11
2,BRAAZQCTF001,2023-05-15T00:00:00.000Z,0.14,04/2023/2023,2023-04-28T00:00:00.000Z,BRAAZQCTF001,RENDIMENTO,2023-04-28T00:00:00.000Z,,AAZQ11
3,BRAAZQCTF001,2023-04-17T00:00:00.000Z,0.15,03/2023/2023,2023-03-31T00:00:00.000Z,BRAAZQCTF001,RENDIMENTO,2023-03-31T00:00:00.000Z,,AAZQ11
4,BRAAZQCTF001,2023-03-14T00:00:00.000Z,0.13,02/2023/2023,2023-02-28T00:00:00.000Z,BRAAZQCTF001,RENDIMENTO,2023-02-28T00:00:00.000Z,,AAZQ11
5,BRAAZQCTF001,2023-02-14T00:00:00.000Z,0.15,01/2023/2023,2023-01-31T00:00:00.000Z,BRAAZQCTF001,RENDIMENTO,2023-01-31T00:00:00.000Z,,AAZQ11
6,BRAAZQCTF001,2023-01-13T00:00:00.000Z,0.07,12/2022/2022,2022-12-29T00:00:00.000Z,BRAAZQCTF001,RENDIMENTO,2022-12-29T00:00:00.000Z,,AAZQ11
0,BRBBGOCTF002,2023-07-14T00:00:00.000Z,2.35,JUN/2023/2023,2023-06-30T00:00:00.000Z,BRBBGOCTF002,RENDIMENTO,2023-06-30T00:00:00.000Z,,BBGO11
1,BRBBGOCTF002,2023-06-15T00:00:00.000Z,0.9,MAI/2023/2023,2023-05-31T00:00:00.000Z,BRBBGOCTF002,RENDIMENTO,2023-05-31T00:00:00.000Z,,BBGO11
2,BRBBGOCTF002,2023-05-15T00:00:00.000Z,1.02,ABR/2023/2023,2023-04-28T00:00:00.000Z,BRBBGOCTF002,RENDIMENTO,2023-04-28T00:00:00.000Z,,BBGO11
3,BRBBGOCTF002,2023-04-17T00:00:00.000Z,1.2,MAR/2023/2023,2023-03-31T00:00:00.000Z,BRBBGOCTF002,RENDIMENTO,2023-03-31T00:00:00.000Z,,BBGO11
4,BRBBGOCTF002,2023-03-14T00:00:00.000Z,0.87,FEV/2023/2023,2023-02-28T00:00:00.000Z,BRBBGOCTF002,RENDIMENTO,2023-02-28T00:00:00.000Z,,BBGO11
5,BRBBGOCTF002,2023-02-14T00:00:00.000Z,0.87,JAN/2023/2023,2023-01-31T00:00:00.000Z,BRBBGOCTF002,RENDIMENTO,2023-01-31T00:00:00.000Z,,BBGO11
6,BRBBGOCTF002,2023-01-13T00:00:00.000Z,0.94,DEZ/2022/2022,2022-12-29T00:00:00.000Z,BRBBGOCTF002,RENDIMENTO,2022-12-29T00:00:00.000Z,,BBGO11
7,BRBBGOCTF002,2022-12-14T00:00:00.000Z,0.8,NOV/22/2022,2022-11-30T00:00:00.000Z,BRBBGOCTF002,RENDIMENTO,2022-11-30T00:00:00.000Z,,BBGO11
8,BRBBGOCTF002,2022-11-16T00:00:00.000Z,1.0,OUT/22/2022,2022-10-31T00:00:00.000Z,BRBBGOCTF002,RENDIMENTO,2022-10-31T00:00:00.000Z,,BBGO11
9,BRBBGOCTF002,2022-10-17T00:00:00.000Z,0.8,SET/22/2022,2022-09-30T00:00:00.000Z,BRBBGOCTF002,RENDIMENTO,2022-09-30T00:00:00.000Z,,BBGO11
10,BRBBGOCTF002,2022-09-15T00:00:00.000Z,0.75,AGO/22/2022,2022-08-31T00:00:00.000Z,BRBBGOCTF002,RENDIMENTO,2022-08-31T00:00:00.000Z,,BBGO11
11,BRBBGOCTF002,2022-08-12T00:00:00.000Z,0.74,JUL/22/2022,2022-07-29T00:00:00.000Z,BRBBGOCTF002,RENDIMENTO,2022-07-29T00:00:00.000Z,,BBGO11
0,BRCPTRCTF006,2023-07-19T00:00:00.000Z,1.3,Junho-2023/2023,2023-07-12T00:00:00.000Z,BRCPTRCTF006,RENDIMENTO,2023-07-12T00:00:00.000Z,,CPTR11
1,BRCPTRCTF006,2023-06-20T00:00:00.000Z,1.4,Maio-2023/2023,2023-06-13T00:00:00.000Z,BRCPTRCTF006,RENDIMENTO,2023-06-13T00:00:00.000Z,,CPTR11
2,BRCPTRCTF006,2023-05-18T00:00:00.000Z,1.35,Abril-2023/2023,2023-05-11T00:00:00.000Z,BRCPTRCTF006,RENDIMENTO,2023-05-11T00:00:00.000Z,,CPTR11
3,BRCPTRCTF006,2023-04-20T00:00:00.000Z,1.45,Março-2023/2023,2023-04-13T00:00:00.000Z,BRCPTRCTF006,RENDIMENTO,2023-04-13T00:00:00.000Z,,CPTR11
4,BRCPTRCTF006,2023-03-17T00:00:00.000Z,1.35,Fevereiro-2023/2023,2023-03-10T00:00:00.000Z,BRCPTRCTF006,RENDIMENTO,2023-03-10T00:00:00.000Z,,CPTR11
5,BRCPTRCTF006,2023-02-17T00:00:00.000Z,1.45,Janeiro-2023/2023,2023-02-10T00:00:00.000Z,BRCPTRCTF006,RENDIMENTO,2023-02-10T00:00:00.000Z,,CPTR11
6,BRCPTRCTF006,2023-01-18T00:00:00.000Z,1.45,Dezembro-2022/2023,2023-01-11T00:00:00.000Z,BRCPTRCTF006,RENDIMENTO,2023-01-11T00:00:00.000Z,,CPTR11
7,BRCPTRCTF006,2022-12-19T00:00:00.000Z,1.375,Novembro-2022/2022,2022-12-12T00:00:00.000Z,BRCPTRCTF006,RENDIMENTO,2022-12-12T00:00:00.000Z,,CPTR11
8,BRCPTRCTF006,2022-11-21T00:00:00.000Z,1.4,Outubro-2022/2022,2022-11-11T00:00:00.000Z,BRCPTRCTF006,RENDIMENTO,2022-11-11T00:00:00.000Z,,CPTR11
9,BRCPTRCTF006,2022-10-20T00:00:00.000Z,1.4,Setembro-2022/2022,2022-10-13T00:00:00.000Z,BRCPTRCTF006,RENDIMENTO,2022-10-13T00:00:00.000Z,,CPTR11
10,BRCPTRR05M15,2022-10-20T00:00:00.000Z,0.98340842,Setembro-2022/2022,2022-10-13T00:00:00.000Z,BRCPTRR05M15,RENDIMENTO,2022-10-13T00:00:00.000Z,,
11,BRCPTRR06M14,2022-10-20T00:00:00.000Z,0.50464366,Setembro-2022/2022,2022-10-13T00:00:00.000Z,BRCPTRR06M14,RENDIMENTO,2022-10-13T00:00:00.000Z,,
12,BRCPTRCTF006,2022-09-20T00:00:00.000Z,1.75,Agosto/2022,2022-09-13T00:00:00.000Z,BRCPTRCTF006,RENDIMENTO,2022-09-13T00:00:00.000Z,,CPTR11
13,BRCPTRCTF006,2022-08-17T00:00:00.000Z,1.75,Julho/2022,2022-08-10T00:00:00.000Z,BRCPTRCTF006,RENDIMENTO,2022-08-10T00:00:00.000Z,,CPTR11
0,BRDCRACTF002,2023-07-14T00:00:00.000Z,0.13,JUNHO/2023,2023-07-07T00:00:00.000Z,BRDCRACTF002,RENDIMENTO,2023-07-07T00:00:00.000Z,,DCRA11
1,BRDCRACTF002,2023-06-15T00:00:00.000Z,0.13,MAIO/2023,2023-06-07T00:00:00.000Z,BRDCRACTF002,RENDIMENTO,2023-06-07T00:00:00.000Z,,DCRA11
2,BRDCRACTF002,2023-05-15T00:00:00.000Z,0.12,ABRIL/2023,2023-05-08T00:00:00.000Z,BRDCRACTF002,RENDIMENTO,2023-05-08T00:00:00.000Z,,DCRA11
3,BRDCRACTF002,2023-04-17T00:00:00.000Z,0.12,MARÇO/2023,2023-04-10T00:00:00.000Z,BRDCRACTF002,RENDIMENTO,2023-04-10T00:00:00.000Z,,DCRA11
4,BRDCRACTF002,2023-03-14T00:00:00.000Z,0.11,FEVEREIRO/2023,2023-03-07T00:00:00.000Z,BRDCRACTF002,RENDIMENTO,2023-03-07T00:00:00.000Z,,DCRA11
5,BRDCRACTF002,2023-02-14T00:00:00.000Z,0.12,JANEIRO/2023,2023-02-07T00:00:00.000Z,BRDCRACTF002,RENDIMENTO,2023-02-07T00:00:00.000Z,,DCRA11
6,BRDCRACTF002,2023-01-13T00:00:00.000Z,0.12,DEZEMBRO/2022,2023-01-06T00:00:00.000Z,BRDCRACTF002,RENDIMENTO,2023-01-06T00:00:00.000Z,,DCRA11
