,Fundo,CNPJ,Quantidade,Valor (R$),Tipo,Data Referência,Dono
0,REAL INVESTOR FUNDO DE INVESTIMENT2,44.625.612/0001-45,"10.000,00",962500.0,FII,31/03/2023,AFHI11
1,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"1.000,00",91790.0,FII,31/03/2023,AFHI11
2,ITAU SOBERANO RF SIMPLES LP FICFI,06.175.696/0001-73,"378.553,10",22315344.96,Outros,31/03/2023,AFHI11
0,REAL INVESTOR FII,44.625.612/0001-45,"10.000,00",1005500.0,FII,31/12/2022,AFHI11
1,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.997,00",295084.62,FII,31/12/2022,AFHI11
2,ITAU SOBERANO RF SIMPLES LP FICFI,06.175.696/0001-73,"108.072,58",6180701.51,Outros,31/12/2022,AFHI11
0,ITAU SOBERANO,06.175.696/0001-73,"69.907,67",4129252.81,Outros,31/03/2023,AIEC11
0,ALIANZA DIGITAL REALTY FII,38.293.862/0001-22,"520.000,00",50687675.7,FII,31/03/2023,ALZR11
1,DAYCOVAL D235 FII,42.922.127/0001-08,"358.405,00",14772342.88,FII,31/03/2023,ALZR11
2,FATOR VERITA FII,11.664.201/0001-00,"80.025,00",6838936.5,FII,31/03/2023,ALZR11
3,KINEA RENDIMENTOS IMOB. FII ,16.706.958/0001-32,"31.614,00",3096907.44,FII,31/03/2023,ALZR11
4,TISHMAN SPEYER RENDA CORPORATIVA FII,34.847.042/0001-84,"1.203.249,00",118573231.76,FII,31/03/2023,ALZR11
5,ITAU RENDA FIXA REFERENCIADO DI VIP FUNDO DE INVES,05.073.650/0001-80,"5.970.862,10",45626542.23,Outros,31/03/2023,ALZR11
6,ITAU SOBERANO RF SIMPLES LP FICFI,06.175.696/0001-73,"58.602,69",3452204.74,Outros,31/03/2023,ALZR11
0,ALIANZA DIGITAL REALTY FII,38.293.862/0001-22,"520.000,00",50673688.0,FII,31/12/2022,ALZR11
1,DAYCOVAL D235 FUNDO DE INVESTIMENT,42.922.127/0001-08,"150.717,00",15068685.66,FII,31/12/2022,ALZR11
2,FATOR VERITA FUNDO DE INVESTIMENTO,11.664.201/0001-00,"80.025,00",7112622.0,FII,31/12/2022,ALZR11
3,KINEA RENDIMENTOS IMOB.FII (ITAU),16.706.958/0001-32,"214.822,00",21200783.18,FII,31/12/2022,ALZR11
4,ITAU RENDA FIXA REFERENCIADO DI VIP FUNDO DE INVES,05.073.650/0001-80,"19.727.641,68",146251596.94,Outros,31/12/2022,ALZR11
0,KNSC11,35..86.4.4/48/0-00,"15.000,00",1632367.62,FII,30/06/2022,ARRI11
