,currency,shortName,longName,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,regularMarketOpen,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,symbol,priceEarnings,earningsPerShare,logourl,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,averageDailyVolume3Month,averageDailyVolume10Day,marketCap
0,BRL,FIAGRO FZDB CI,051 Agro Fazendas Iii Fundo De Investimento Nas Cadeias Produtivas Agroindustriais,0.0,0.0,2023-07-14T16:56:09.000Z,105.0,105.0,105.0 - 105.0,105.0,0.0,105.0,0.0,0.0,0.0,105.0 - 105.0,0.0,0.0,105.0,105.0,FZDB11,,,https://brapi.dev/favicon.svg,,,,,,
1,BRL,FIAGRO 051  CI,,-3.0800018,-1.9483818,2023-07-28T19:42:04.000Z,155.0,160.0,155.0 - 160.0,155.0,72.0,158.08,155.0,55.0,0.55,100.0 - 170.0,-15.0,-0.0882353,100.0,170.0,FZDA11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,125.51255,29.48745,0.23493627,63.0,115.0,
2,BRL,FIAGRO AAZQ CI,Az Quest Sole Fundo De Investimento Nas Cadeias Produtivas Do Agronegocio - Fiagro - Imobiliario,0.3800001,4.121476,2023-07-28T20:05:00.000Z,9.6,9.72,9.21 - 9.72,9.21,236697.0,9.22,9.26,0.57000065,0.063122995,9.03 - 10.37,-0.7699995,-0.074252605,9.03,10.37,AAZQ11,,,https://brapi.dev/favicon.svg,9.61649,-0.016489983,-0.001714761,88727.0,109449.0,
3,BRL,FIAGRO BBGO CI,Bb Fundo De Investimento De Credito Fiagro-Imobiliario,0.7400055,0.7988832,2023-07-28T20:00:00.000Z,93.37,93.39,92.5 - 93.39,92.5,6648.0,92.63,93.04,16.400002,0.21307005,76.97 - 94.95,-1.5799942,-0.016640276,76.97,94.95,BBGO11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,82.4968,10.873199,0.13180147,5438.0,5618.0,
4,BRL,FIAGRO CPTR CI  ER,Capitania Agro Strategies - Fiagro - Imobiliario Fund,0.22000122,0.22857271,2023-07-28T20:05:00.000Z,96.47,96.47,96.17 - 96.47,96.17,13874.0,96.25,96.29,2.4400024,0.025949191,94.03 - 109.75,-13.279999,-0.121002264,94.03,109.75,CPTR11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,97.6907,-1.2206955,-0.012495514,17144.0,16939.0,
5,BRL,FIAGRO DEVANCI,Devant Fundo De Investimento Nas Cadeias Produtivas Agroindustriais - Fiagro-Imobiliario,-0.03999996,-0.4197268,2023-07-28T20:05:00.000Z,9.49,9.54,9.42 - 9.54,9.42,20074.0,9.53,9.54,0.8899994,0.103488296,8.6 - 9.9,-0.40999985,-0.041414127,8.6,9.9,DCRA11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,9.1169,0.37309933,0.040923923,27196.0,22767.0,
6,BRL,FIAGRO ECO  CI,Ecoagro I Fundo De Investimento Nas Cadeias Produtivas Agroindustriais Fiagro Imobiliario,-0.2899933,-0.29013836,2023-07-28T19:52:24.000Z,99.66,100.47,99.66 - 100.47,99.66,4833.0,99.95,100.0,3.090004,0.031997558,96.57 - 110.0,-10.339996,-0.09399997,96.57,110.0,EGAF11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,100.5794,-0.91939545,-0.009140992,4838.0,5130.0,
7,BRL,FIAGRO AGRX CI,Fiagro Agrx,0.119999886,1.11111,2023-07-28T20:05:00.000Z,10.92,10.96,10.74 - 10.96,10.74,43543.0,10.8,10.82,0.1800003,0.016759805,10.74 - 10.96,-0.03999996,-0.0036496315,10.74,10.96,AGRX11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,,,,,,
8,BRL,FIAGRO RIZA CI,Fundo De Investimento Nas Cadeias Produtivas Agroindustriais Riza Agro - Fiagro - Imobiliario,0.0,0.0,2023-07-28T20:06:00.000Z,9.43,9.45,9.37 - 9.45,9.37,337757.0,9.43,9.43,0.8699999,0.10163549,8.56 - 10.65,-1.2199993,-0.11455393,8.56,10.65,RZAG11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,9.5075,-0.07749939,-0.008151395,253304.0,389805.0,
9,BRL,FIAGRO JGP  CI,Fundo De Investimento Nas Cadeias Produtivas Agroindustriais Jgp Credito Fiagro Imobiliario,-0.7200012,-0.7184207,2023-07-28T20:00:00.000Z,99.5,100.67,98.01 - 100.67,98.01,2174.0,100.22,100.19,6.470001,0.069547474,93.03 - 103.0,-3.5,-0.033980582,93.03,103.0,JGPX11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,96.8004,2.6996002,0.027888317,2320.0,2194.0,
10,BRL,FIAGRO FGA  CI,FG/Agro Fundo De Investimento Nas Cadeias Produtivas Agroindustriais - Fiagro-Imobiliario,0.029999733,0.30394867,2023-07-28T20:05:00.000Z,9.9,9.9,9.84 - 9.9,9.84,128045.0,9.87,9.88,0.46000004,0.04872882,9.44 - 10.0,-0.10000038,-0.010000038,9.44,10.0,FGAA11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,9.743275,0.15672493,0.016085448,138083.0,133893.0,
11,BRL,FIAGRO GLPG CI,Galapagos Recebiveis Do Agronegocio Fiagro Imobiliario,0.0,0.0,2023-07-28T19:50:28.000Z,93.4,93.4,93.01 - 93.4,93.01,4071.0,93.4,93.39,0.3899994,0.004193091,93.01 - 93.4,0.0,0.0,93.01,93.4,GCRA11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,,,,,,
12,BRL,FIAGRO GRWA CI,Greenwich Agro Fundo De Investimento Nas Cadeias Produtivas Agroindustriais - Fiagro - Imobiliario,-0.030000687,-0.2909863,2023-07-28T19:36:39.000Z,10.28,10.31,10.27 - 10.31,10.27,211.0,10.31,10.31,1.2799997,0.1422222,9.0 - 10.5,-0.22000027,-0.020952407,9.0,10.5,GRWA11,,,https://brapi.dev/favicon.svg,10.142886,0.13711357,0.013518201,1609.0,1320.0,
13,BRL,FIAGRO HIGH CI  ES,High Fundo De Investimento Agro - Fiagro - Imobiliario,-2.4699993,-8.381403,2023-07-28T20:05:00.000Z,27.0,29.47,27.0 - 29.47,27.0,1438.0,29.47,29.47,2.3899994,0.097114965,24.61 - 104.82,-77.82,-0.74241555,24.61,104.82,HGAG11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,52.673622,-25.673622,-0.48740947,617.0,627.0,
14,BRL,FIAGRO IAAG CI,Inter Amerra - Fiagro - Imobiliario,-0.069999695,-0.6896522,2023-07-28T19:54:55.000Z,10.08,10.09,10.0 - 10.09,10.0,6520.0,10.15,10.0,0.1800003,0.01818185,9.9 - 10.2,-0.119999886,-0.011764695,9.9,10.2,IAAG11,,,https://brapi.dev/favicon.svg,10.058888,0.021111488,0.0020987894,7522.0,4119.0,
15,BRL,FIAGRO RURA CI,Itau Asset Rural Fiagro - Imobiliario,0.07999992,0.76190406,2023-07-28T20:05:00.000Z,10.58,10.58,10.5 - 10.58,10.5,93822.0,10.5,10.5,0.6300001,0.0633166,9.95 - 10.82,-0.23999977,-0.022181125,9.95,10.82,RURA11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,10.3228,0.25720024,0.024915745,145915.0,155106.0,
16,BRL,FIAGRO KINEACI,Kinea Credito Agro Fiagro-Imobiliario,1.140007,1.0727459,2023-07-28T20:05:00.000Z,107.41,107.41,106.16 - 107.41,106.16,27715.0,106.27,106.38,4.9100037,0.047902476,102.5 - 113.68,-6.2699966,-0.05515479,102.5,113.68,KNCA11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,106.0963,1.3137054,0.012382199,24309.0,23618.0,
17,BRL,FIAGRO LESTECI,Leste Fundo De Investimento Nas Cadeias Produtivas Agroindustriais - Fiagro - Imobiliario,-0.11000061,-0.10226907,2023-07-28T19:49:46.000Z,107.45,108.81,106.5 - 108.81,106.5,3599.0,107.56,108.81,5.449997,0.053431343,102.0 - 129.0,-21.550003,-0.16705428,102.0,129.0,LSAG11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,107.71085,-0.26085663,-0.002421823,1093.0,1760.0,
18,BRL,FIAGRO NCH  CI  ER,Nch Recebiveis Do Agronegocio - Fiagro Imobiliario,0.06000042,0.5464519,2023-07-28T19:53:13.000Z,11.04,11.07,10.98 - 11.07,10.98,11620.0,10.98,10.98,0.06000042,0.0054645194,10.98 - 11.07,-0.029999733,-0.002710003,10.98,11.07,NCRA11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,,,,,,
19,BRL,FIAGRO INNOVCI,Ourinvest Innovation - Fiagro Imobiliario,0.05000019,0.52576435,2023-07-28T20:05:00.000Z,9.56,9.58,9.51 - 9.58,9.51,9596.0,9.51,9.51,0.5800009,0.06458808,8.98 - 11.2,-1.6399994,-0.14642853,8.98,11.2,OIAG11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,10.0076,-0.4475994,-0.04472595,29981.0,16718.0,
20,BRL,FIAGRO PLUR CI,Plural Credito Agro - Fiagro - Imobiliario,0.1700058,0.18553509,2023-07-28T19:52:36.000Z,91.8,93.0,91.1 - 93.0,91.1,330.0,91.63,93.0,10.660004,0.1313779,81.14 - 104.5,-12.699997,-0.12153107,81.14,104.5,PLCA11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,91.9726,-0.17259979,-0.0018766435,747.0,373.0,
21,BRL,FIAGRO SFI  CI,Sfi Investimentos Do Agronegocio - Fiagro Imobiliario,-0.16000366,-0.15686634,2023-07-28T19:38:45.000Z,101.84,101.89,101.0 - 101.89,101.0,711.0,102.0,101.7,7.8399963,0.08340421,94.0 - 106.0,-4.1600037,-0.03924532,94.0,106.0,IAGR11,,,https://brapi.dev/favicon.svg,99.1255,2.7144928,0.027384404,345.0,468.0,
