,symbol,currency,shortName,longName,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,regularMarketOpen,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceEarnings,earningsPerShare,logourl,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,averageDailyVolume3Month,averageDailyVolume10Day,marketCap,publicoalvo,administrador,rendimento,dy,data_pagamento,data_base,rendimento_12m,rendimento_12m_porcen,patrimonio_cota,cota_vp,negocios,participacao_ifix,numero_cotista,patrimonio,cota_base,tipo,subtipo
0,AAZQ11,BRL,FIAGRO AAZQ CI,Az Quest Sole Fundo De Investimento Nas Cadeias Produtivas Do Agronegocio - Fiagro - Imobiliario,0.3800001,4.121476,2023-07-28T20:05:00.000Z,9.6,9.72,9.21 - 9.72,9.21,236697.0,9.22,9.26,0.57000065,0.063122995,9.03 - 10.37,-0.7699995,-0.074252605,9.03,10.37,,,https://brapi.dev/favicon.svg,9.61649,-0.016489983,-0.001714761,88727.0,109449.0,,Investidores em Geral,XP INVESTIMENTOS CCTVM S.A.,0.13,1.35,15/06/2023,31/05/2023,0.06,0.61,9.6,0.99,89.0,,12373.0,230495509.6,9.62,Fiagro,Fiagro
1,ABCP11,BRL,FII ABC IMOBCI,FII ABC Plaza Shopping Fund,-0.030006409,-0.041978747,2023-07-28T19:52:52.000Z,71.45,71.49,71.0 - 71.49,71.0,660.0,71.48,71.48,7.779999,0.12219254,63.67 - 77.0,-5.550003,-0.07207796,63.67,77.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,68.79225,2.6577454,0.03863437,872.0,712.0,871961472.0,Investidores em Geral,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0.5,0.72,07/06/2023,31/05/2023,0.53,0.76,91.8,0.75,3.0,,18295.0,432443873.07,69.6,Tijolo,Shoppings
2,AFHI11,BRL,FII AFHI CRICI  ER,Af Invest Cri Fundo De Investimento Imobiliario – Recebiveis Imobiliarios,-0.5699997,-0.5866005,2023-07-28T20:05:00.000Z,96.6,97.2,96.6 - 97.2,96.6,21973.0,97.17,97.17,5.0899963,0.055622295,91.51 - 101.95,-5.3499985,-0.05247669,91.51,101.95,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,95.0471,1.5529022,0.01633824,9098.0,10108.0,,Investidores em Geral,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,1.1,1.12,22/06/2023,15/06/2023,1.1,1.12,95.1,1.01,28.0,0.26,20206.0,288774479.75,97.97,Papel,Papéis
3,AGRX11,BRL,FIAGRO AGRX CI,Fiagro Agrx,0.119999886,1.11111,2023-07-28T20:05:00.000Z,10.92,10.96,10.74 - 10.96,10.74,43543.0,10.8,10.82,0.1800003,0.016759805,10.74 - 10.96,-0.03999996,-0.0036496315,10.74,10.96,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,,,,,,,Investidor Profissional,PLURAL S.A. BANCO MÚLTIPLO,0.18,1.62,15/06/2023,07/06/2023,0.12,1.05,10.25,1.07,9.0,,3148.0,66211065.24,11.13,Fiagro,Fiagro
4,AIEC11,BRL,FII AUTONOMYCI,Autonomy Edifícios Corporativos Fundo de Investimento Imobiliario,0.58000183,0.8248035,2023-07-28T20:05:00.000Z,70.9,71.1,70.0 - 71.1,70.0,7199.0,70.32,70.4,12.370003,0.21134466,58.53 - 82.0,-11.099998,-0.13536583,58.53,82.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,66.2489,4.6511,0.07020645,8117.0,8433.0,342092512.0,Investidores em Geral,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.78,1.21,09/06/2023,31/05/2023,0.75,1.17,94.4,0.7,32.0,0.28,13973.0,456168645.06,64.38,Tijolo,Lajes Corporativas
5,ALMI11,BRL,FII TORRE ALCI,Fundo De Investimento Imobiliario Torre Almirante,-16.650024,-2.1273906,2023-07-28T20:00:00.000Z,766.0,790.0,765.0 - 790.0,765.0,29.0,782.65,790.0,39.109985,0.053804543,726.89 - 1150.0,-384.0,-0.33391306,726.89,1150.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,854.3169,-88.316895,-0.10337721,67.0,149.0,,Investidores em Geral,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,0.37,,13/04/2017,31/03/2017,9.24,,2250.09,0.39,835.0,,2425.0,225341513.46,,Tijolo,Lajes Corporativas
6,ALZM11,BRL,FII ALIANZMECI  ER,Alianza Fofii Fundo De Investimento Imobiliario,0.25,0.26598576,2023-07-28T19:43:29.000Z,94.24,95.06,92.51 - 95.06,92.51,980.0,93.99,94.3,18.04,0.23674543,76.2 - 99.84,-5.5999985,-0.05608973,76.2,99.84,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,88.1559,6.084099,0.06901522,860.0,1097.0,,Investidores em Geral,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,0.85,0.91,22/06/2023,15/06/2023,0.98,1.05,91.15,1.02,4.0,,3613.0,63000354.16,93.0,Papel,Fundo de Fundos
7,ALZR11,BRL,FII ALIANZA CI  ER,Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario,0.48999786,0.43362644,2023-07-28T20:05:00.000Z,113.49,113.96,113.0 - 113.96,113.0,50146.0,113.0,113.16,4.869995,0.044835158,108.62 - 120.96,-7.470001,-0.061755963,108.62,120.96,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,113.40483,0.08516693,0.00075099914,23326.0,37862.0,,Investidores em Geral,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,0.82,0.71,23/06/2023,16/06/2023,1.2,1.05,106.22,1.06,58.0,0.92,124972.0,812381314.05,114.5,Fundo Misto,Misto
8,APTO11,BRL,FII NAVI RSDCI,Navi Residencial Fundo De Investimento Imobiliario,0.010000229,0.10060592,2023-07-28T20:05:00.000Z,9.95,9.97,9.91 - 9.97,9.91,3358.0,9.94,9.94,1.9200001,0.23910338,8.03 - 10.2,-0.25,-0.024509804,8.03,10.2,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,8.93785,1.0121498,0.113243096,4659.0,6143.0,40008352.0,Investidores em Geral,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.11,1.1,21/06/2023,31/05/2023,0.11,1.06,10.09,0.97,8.0,,7385.0,40188993.12,10.0,Tijolo,Imóveis Residenciais
9,ARRI11,BRL,FII ATRIO   CI,Fundo De Investimento Imobiliario Atrio Reit Recebiveis Imobiliarios,0.030000687,0.32931602,2023-07-28T19:54:13.000Z,9.14,9.21,9.11 - 9.21,9.11,19179.0,9.11,9.11,1.1400003,0.14250004,8.0 - 9.6,-0.46000004,-0.04791667,8.0,9.6,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,8.908572,0.23142815,0.02597814,27598.0,21127.0,,Investidores em Geral,OLIVEIRA TRUST DTVM S.A.,0.11,1.26,07/06/2023,31/05/2023,0.12,1.33,8.89,0.96,30.0,0.1,24627.0,116735169.45,8.75,Papel,Papéis
10,ARXD11,BRL,FII ARXD R  CI,Arx Dover Recebiveis Fundo De Investimento Imobiliario,0.0,0.0,2023-07-21T19:42:32.000Z,100.0,100.0,100.0 - 100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0 - 100.0,0.0,0.0,100.0,100.0,,,https://brapi.dev/favicon.svg,100.0,0.0,0.0,16.0,0.0,,Investidor Qualificado,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,1.15,,15/06/2023,31/05/2023,0.23,,99.6,1.0,1.0,,61.0,49583147.49,,Papel,Papéis
11,ASMT11,BRL,FII ASA MET CI,Core Metropolis Fundo De Investimento Imobiliario,0.11999893,0.24489579,2023-07-28T18:14:22.000Z,49.12,49.49,49.0 - 49.49,49.0,46.0,49.0,49.03,1.7199974,0.036286864,47.4 - 85.0,-35.88,-0.42211765,47.4,85.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,64.6356,-15.515598,-0.24004726,519.0,244.0,49970756.0,Investidores em Geral,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,0.77,1.11,23/02/2023,14/02/2023,0.79,1.13,84.73,0.6,3.0,,407.0,84197799.68,69.36,Tijolo,Lajes Corporativas
12,ATSA11,BRL,FII HATRIUM CI,Cshg Atrium Shopping Santo Andr Fundo De Investimento Imobilirio Fii,0.0,0.0,2023-07-28T14:44:19.000Z,66.0,66.0,66.0 - 66.0,66.0,3.0,66.0,0.0,2.1699982,0.033996522,63.83 - 85.2,-19.199997,-0.22535208,63.83,85.2,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,76.208984,-10.208984,-0.13396038,9.0,9.0,,Investidores em Geral,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,0.05,,14/03/2023,28/02/2023,0.03,,81.55,0.8,22.0,,277.0,143322471.71,,Tijolo,Shoppings
13,BARI11,BRL,FII BARIGUI CI,Fundo De Investimento Imobiliario Barigui Rendimentos Imobiliario I Fii,-0.05000305,-0.0562464,2023-07-28T20:06:00.000Z,88.85,89.29,88.39 - 89.29,88.39,5874.0,88.9,89.0,12.849998,0.16907893,76.0 - 99.79,-10.940002,-0.10963025,76.0,99.79,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,85.2181,3.631897,0.042618845,9608.0,7579.0,411747776.0,Investidores em Geral,OLIVEIRA TRUST DTVM S.A.,0.94,1.1,22/06/2023,31/05/2023,1.02,1.21,96.69,0.88,32.0,0.35,38588.0,447259333.51,84.87,Papel,Papéis
14,BBFO11,BRL,FII BB FOF  CI,BB Fundos De Fundos - Fundo De Investimento Imobiliario,0.0,0.0,2023-07-28T19:52:52.000Z,75.1,75.35,75.09 - 75.35,75.09,1076.0,75.1,75.09,16.21,0.27525896,58.89 - 80.2,-5.0999985,-0.063591,58.89,80.2,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,68.4486,6.6513977,0.09717361,3103.0,3995.0,,Investidores em Geral,BB GESTAO DE RECURSOS DTVM S.A,0.69,1.0,15/06/2023,31/05/2023,0.72,1.05,76.85,0.89,3.0,,5475.0,317893428.8,68.7,Papel,Fundo de Fundos
15,BBGO11,BRL,FIAGRO BBGO CI,Bb Fundo De Investimento De Credito Fiagro-Imobiliario,0.7400055,0.7988832,2023-07-28T20:00:00.000Z,93.37,93.39,92.5 - 93.39,92.5,6648.0,92.63,93.04,16.400002,0.21307005,76.97 - 94.95,-1.5799942,-0.016640276,76.97,94.95,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,82.4968,10.873199,0.13180147,5438.0,5618.0,,Investidores em Geral,BB GESTAO DE RECURSOS DTVM S.A,0.9,1.05,15/06/2023,31/05/2023,0.9,1.05,98.01,0.85,9.0,,8002.0,394727201.93,85.67,Fiagro,Fiagro
