Emissor,CNPJ,Emissão,Série,Quantidade,Valor,PM,Dono,Competência,% do PL Dono
COMPANHIA PROVINCIA DE SECURITIZACAO DE CREDITOS I,04.200.649/0001-07,19/09/2022,1,2100.0,2104542.25,1002.1629761904762,AFHI11,4/2022,0.7344388250814438
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,15/06/2020,203,3980.0,4633256.16,1164.1347135678393,AFHI11,4/2022,1.6169042034921188
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,19/10/2020,214,5903.0,4017590.41,680.6014585803829,AFHI11,4/2022,1.4020504365635216
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,22/02/2021,225,2500.0,2799065.28,1119.626112,AFHI11,4/2022,0.9768120433645189
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,22/02/2021,226,2500.0,2799065.28,1119.626112,AFHI11,4/2022,0.9768120433645189
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,22/02/2021,227,2500.0,2797798.76,1119.119504,AFHI11,4/2022,0.976370055820319
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,23/08/2021,248,12000.0,11058875.64,921.57297,AFHI11,4/2022,3.859303671267897
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,23/08/2021,249,12920.0,13090796.38,1013.2195340557276,AFHI11,4/2022,4.568399191181654
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,01/12/2022,1,15000.0,15020604.89,1001.3736593333334,AFHI11,4/2022,5.241859795128461
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,16/12/2022,1,15000.0,15095636.39,1006.3757593333333,AFHI11,4/2022,5.268044133648677
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,09/11/2020,296,3818.0,4010037.89,1050.2980330015716,AFHI11,4/2022,1.3994147736704605
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,27/07/2021,371,11750.0,12255084.59,1042.9859225531916,AFHI11,4/2022,4.2767542098778515
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,23/09/2021,380,13900.0,14069369.7,1012.184870503597,AFHI11,4/2022,4.90989969533967
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,25/02/2022,478,10000.0,9776478.93,977.647893,AFHI11,4/2022,3.411775505472836
REIT SECURITIZADORA S.A.,13.349.677/0001-81,26/07/2021,22,15640.0,14060805.52,899.0284859335038,AFHI11,4/2022,4.906910985420929
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,29/06/2022,1,11000.0,8478527.06,770.7751872727273,AFHI11,4/2022,2.9588189319400113
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,15/08/2022,3,7000.0,7116301.16,1016.6144514285714,AFHI11,4/2022,2.4834321396380212
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,27/09/2018,168,14471.0,4424952.36,305.7806896551724,AFHI11,4/2022,1.5442107718767641
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,19/08/2019,214,51.0,42891.19,841.0037254901961,AFHI11,4/2022,0.014968079253312672
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,22/12/2020,323,3100.0,1167046.17,376.4665064516129,AFHI11,4/2022,0.4072733716372759
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,23/12/2020,345,1340567.0,1318023.3,0.9831834589393891,AFHI11,4/2022,0.45996105988462205
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,23/12/2020,346,286460.0,290812.93,1.0151955944983593,AFHI11,4/2022,0.10148729807049116
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,16/08/2021,431,4000.0,4024677.85,1006.1694625,AFHI11,4/2022,1.404523796794914
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,16/08/2021,432,5000.0,5030847.31,1006.169462,AFHI11,4/2022,1.7556547451211977
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,15/09/2021,435,5000.0,3076663.45,615.3326900000001,AFHI11,4/2022,1.0736876816747307
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,27/12/2021,484,6647.0,5904306.29,888.2663291710546,AFHI11,4/2022,2.0604726631402044
VERT COMPANHIA SECURITIZADORA,25.005.683/0001-09,22/10/2020,1,5545.0,3086662.62,556.6569197475203,AFHI11,4/2022,1.0771771714517069
VERT COMPANHIA SECURITIZADORA,25.005.683/0001-09,09/12/2021,2,10000.0,10312116.44,1031.211644,AFHI11,4/2022,3.598701181834976
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,06/06/2022,1,9000.0,8781098.96,975.6776622222224,AFHI11,4/2022,3.0644098511713356
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,23/09/2022,1,6000.0,5930667.36,988.44456,AFHI11,4/2022,2.0696720951205743
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,14/10/2019,47,3090.0,1866319.88,603.9870161812297,AFHI11,4/2022,0.6513044724539699
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,21/10/2020,76,4415.0,3704622.49,839.0990917327293,AFHI11,4/2022,1.292831535658594
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,22/03/2021,219,6093.0,4806798.15,788.9049975381586,AFHI11,4/2022,1.6774665301633445
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,25/03/2021,238,22746.0,11361875.01,499.51090345555264,AFHI11,4/2022,3.9650437681004584
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,21/06/2021,277,8388.0,9228411.45,1100.1921137339054,AFHI11,4/2022,3.220512043750199
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,21/06/2021,279,9920.0,10454742.5,1053.905493951613,AFHI11,4/2022,3.6484745308529853
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,21/06/2021,315,14687.0,15478732.48,1053.9070252604345,AFHI11,4/2022,5.401736219057224
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,21/06/2021,316,9733.0,10257632.19,1053.9024134388164,AFHI11,4/2022,3.579687380351331
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,21/06/2021,317,10893.0,11480157.82,1053.9023060681172,AFHI11,4/2022,4.006321859810773
